tot_emd,to_ga_001,to_ga_002,ga_sd_001,ga_sd_002,ga_sd_003,ga_sd_004,ga_sd_005,ga_sd_006,ga_sd_999
26020580,9459,2.25,1646,4215,218,0,3233,48,0
26020590,13657,2.55,2212,6584,276,0,4352,83,0
26020600,8392,2.68,1736,4931,252,0,1376,11,0
26020610,4785,2.05,1039,1633,181,0,1824,69,0
26020620,10997,2.7,2049,6356,369,0,2050,43,0
26020630,5408,2.75,1135,3211,210,0,777,12,0
26020640,5690,2.55,1192,3045,195,0,1170,33,0
26030510,15858,2.47,2864,7279,561,0,4818,160,0
26030520,2778,2.02,584,868,89,0,1201,25,0
26030530,7978,2.48,1397,3987,249,0,2261,17,0
26030540,4766,2.4,908,2280,146,0,1377,6,0
26030550,5677,2.49,1223,2601,223,0,1559,22,0
26030580,3469,2.54,796,1698,138,0,804,5,0
26030590,8025,2.87,1794,4288,191,0,1617,46,0
26030600,4645,2.55,1038,2434,159,0,979,0,0
26030610,7488,2.68,1528,4156,280,0,1437,22,0
26040510,13514,2.63,2468,7534,424,0,2871,55,0
26040520,13856,2.77,2490,8359,437,0,2378,32,0
26040530,12708,2.94,2085,8347,448,0,1659,11,0
26040540,5760,2.63,1262,2984,163,0,1230,47,0
26040560,11847,2.41,2214,5803,227,0,3345,130,0
26040570,10740,2.8,1985,6655,309,0,1652,16,0
26040580,4053,2.58,788,1823,101,0,1287,23,0
26040590,4203,2.33,872,1891,116,0,1255,21,0
26310110,9165,2.11,1472,3376,275,0,3720,270,0
26310120,10434,2.79,2213,5064,341,0,2608,70,0
26310130,10960,2.48,2010,5488,334,0,2909,122,0
26310140,20539,2.79,3789,12427,770,0,3309,33,0
26310141,3075,3.15,492,2304,73,0,171,0,0
26310150,7461,2.39,1569,3511,272,0,1967,80,0
26310310,3485,2.17,753,1212,172,0,1253,61,0
26310340,3385,2.25,802,1206,131,0,1177,51,0
26310360,1491,2.45,486,481,56,0,445,0,0
26310370,1367,2.11,446,354,71,0,468,13,0
26310380,3379,2.25,971,1109,131,0,1091,56,0
26310390,8871,2.23,1900,3439,206,0,3100,118,0
26310400,782,2.08,249,231,18,0,266,5,0
29010110,20455,2.3,3055,7257,759,0,8820,402,0
29010310,1503,1.74,235,322,51,0,854,30,0
29010320,1372,2.2,350,431,71,0,479,35,0
29010330,3006,2.02,618,889,123,0,1313,48,0
29010340,3956,2.05,931,1212,161,0,1497,138,0
29010350,4440,1.72,585,705,123,0,2869,145,0
29010360,3443,2.15,751,1022,172,0,1385,94,0
29010370,2449,2.39,536,826,135,0,877,57,0
29010380,1379,2.51,392,430,83,0,427,32,0
29010390,1052,2.23,211,378,61,0,358,33,0
29010530,12421,2.39,1544,5853,358,0,4368,166,0
29010560,10310,2.67,1555,5925,291,0,2339,59,0
29010590,7388,3.03,1022,4997,289,0,995,12,0
29010600,11097,2.82,1874,6883,352,0,1792,45,0
29010610,6046,2.93,915,3886,261,0,883,22,0
29010620,19356,2.52,2993,10106,482,0,5306,227,0
29010640,3803,2.54,833,1977,103,0,817,25,0
29010650,9877,2.59,1750,5352,258,0,2307,73,0
29010660,6311,2.68,1081,3581,172,0,1379,16,0
31011540,9274,2.42,1498,4513,323,0,2728,93,0
31011550,16800,2.58,2212,7746,548,0,5933,192,0
31011560,10316,2.79,1567,6329,489,0,1786,28,0
31011570,11297,2.56,1786,6038,471,0,2825,58,0
31011580,9227,2.12,1476,3555,355,0,3608,182,0
31011590,7826,2.48,1232,3759,332,0,2377,62,0
31011600,11499,2.4,1732,5543,465,0,3555,118,0
31011610,7154,2.18,1171,2749,326,0,2717,139,0
31011620,13936,2.99,1605,9376,589,0,2179,19,0
31011630,6149,2.96,1074,3935,358,0,703,10,0
31012520,4070,2.44,738,2011,187,0,1035,60,0
31012530,10701,2.09,1657,4098,375,0,4207,301,0
31012540,8427,2.26,1398,3634,366,0,2807,160,0
31012550,14882,2.63,2549,8032,746,0,3260,144,0
31012560,14923,2.45,2292,7362,765,0,4162,211,0
31012570,9704,2.46,1551,4766,481,0,2714,108,0
31012600,11437,2.05,1518,4005,337,0,5130,372,0
31012610,13413,1.96,1447,4473,206,0,6848,349,0
31012620,5782,2.82,1103,3493,266,0,834,26,0
31012640,16364,2.9,2528,10666,746,0,2154,79,0
31012650,15815,2.75,2454,9421,668,0,3025,98,0
31012660,15903,2.73,2459,9542,563,0,3093,60,0
31013530,5187,2.13,824,1903,257,0,2062,110,0
31013540,9688,2.06,1377,3666,272,0,4064,220,0
31013550,6840,2.38,909,3158,242,0,2335,129,0
31013560,17648,2.02,2160,5831,549,0,8256,784,0
31013670,2774,1.96,454,836,91,0,1293,96,0
31013680,5121,1.93,740,1494,146,0,2476,236,0
31013690,4032,2.16,712,1496,175,0,1487,143,0
31013700,8855,2.49,1510,4572,431,0,2192,62,0
31013710,9099,2.84,1519,5627,452,0,1390,22,0
31013720,5226,1.84,756,1474,174,0,2629,178,0
31014510,7244,2.47,992,3715,239,0,2113,100,0
31014520,5973,2.41,893,2868,237,0,1860,68,0
31014530,14663,2.39,1589,6839,417,0,5490,210,0
31014540,8699,2.42,1227,4500,273,0,2525,76,0
